total_properties,object_nodes,array_nodes,leaf_nodes,required_entries,description_chars,max_schema_depth,top_level_properties,schema_chars,record_id,schema_complexity_label,question_difficulty,question_type,context_chars,question_chars,sonnet5_properties_reversed_normalized_excess,gpt55_properties_reversed_normalized_excess,sonnet_minus_gpt_properties_reversed,sonnet5_required_reversed_normalized_excess,gpt55_required_reversed_normalized_excess,sonnet_minus_gpt_required_reversed,sonnet5_keywords_reversed_normalized_excess,gpt55_keywords_reversed_normalized_excess,sonnet_minus_gpt_keywords_reversed,sonnet5_descriptions_first_normalized_excess,gpt55_descriptions_first_normalized_excess,sonnet_minus_gpt_descriptions_first
6,1,1,6,3,335,3,6,819,495c045901c84da64d25d45f283c208ac4a89109d6133507e73e05ac498f0882,medium,medium,bridge,7740,89,0.15999999999999992,-0.050000000000000044,0.20999999999999996,-0.009999999999999898,-0.09000000000000008,0.08000000000000018,0.15000000000000002,-0.01000000000000012,0.16000000000000014,0.07999999999999996,0.06999999999999995,0.010000000000000009
7,2,0,6,7,252,3,4,870,4a492b71296b2ddfd9e85bf430f84424d5fe537a33dc37a28c714a876453228e,hard,hard,bridge,7491,92,0.0,0.16999999999999993,-0.16999999999999993,0.0,-0.08000000000000002,0.08000000000000002,0.0,-0.08000000000000002,0.08000000000000002,0.0,0.0,0.0
5,1,0,5,5,240,2,5,649,4a9a860a2aacae6f8606797d770b55454bf151e434ffd79d25fc240ec52ddc7a,medium,medium,bridge,6150,83,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000003,0.0,0.10000000000000003,0.0,0.0,0.0
4,1,0,4,4,202,2,4,617,4e093a480ced598447ab11ca10806e1cd3d1ca96b2f6c9166b62189470b79297,medium,medium,bridge,6644,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3,1,6,7,308,4,4,1015,54126bcda56063df2787062bd873df0821960ee20c1bdd23f7da1c8d5f6463b2,hard,medium,bridge,7816,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3,0,7,9,434,3,3,1232,5ba141ef9e8452ee659891510f3492c2caa4267f8593e41b293d1b79feef8358,hard,easy,comparison,7458,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,0,9,10,483,3,4,1219,5d89952162ccb18b319c92c1436258885cf1484a86ed572d5f6b1216348774e6,hard,hard,bridge,4458,121,-0.06999999999999995,-0.06000000000000005,-0.009999999999999898,0.09999999999999998,0.1499999999999999,-0.04999999999999993,0.09999999999999998,-0.09999999999999998,0.19999999999999996,0.010000000000000009,-0.01000000000000012,0.02000000000000013
10,3,2,8,10,430,5,4,1297,5ed7256cfb34ea0a7c881fae39226fe6a01e7ae00487bdde57206fbec4791ea7,hard,easy,bridge,6014,273,0.10000000000000003,0.06000000000000005,0.03999999999999998,0.0,0.28,-0.28,0.3,0.28,0.019999999999999962,0.0,-0.040000000000000036,0.040000000000000036
12,2,2,11,12,476,4,7,1490,5f4dedb8c7a433fe95f658e9ebcf0a19df02db1fcc450e32531e291ef804cb95,hard,easy,bridge,3645,221,1.0,-0.07000000000000006,1.07,0.0,0.0,0.0,0.0,-0.06,0.06,0.0,-0.08000000000000002,0.08000000000000002
6,1,1,6,6,226,3,6,733,6025bfc909422f775997a7fe9de5fd1a93615a0e09365dfedf84c4f3b8e59204,medium,medium,bridge,7664,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4,0,8,11,317,3,3,1242,611844d0fe5a7a248736df693b25afb5e3678c5e906af14e93b7a927058539b3,hard,easy,bridge,4757,175,0.45000000000000007,0.0,0.45000000000000007,0.10000000000000003,0.0,0.10000000000000003,0.10000000000000003,0.050000000000000044,0.04999999999999999,0.6000000000000001,0.0,0.6000000000000001
4,1,0,4,4,186,2,4,552,6207f6445ba79b44d6403f9d758564225779ffaac02bbdc57d76dfc2c49c4b19,medium,medium,bridge,9157,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0,4,4,154,2,4,486,63268bd48fc69c4bdd68d80bc2a40c6f4b66306c6964a624b18d5fbe55a68b17,medium,medium,bridge,6361,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,0,5,6,219,3,3,757,63ad6b3321aa27b42a78ef2aa7d7608d1d492634ea94fc8696f2cc578310ab2b,hard,medium,bridge,7798,107,0.0,-0.06999999999999995,0.06999999999999995,0.0,0.050000000000000044,-0.050000000000000044,0.28,0.0,0.28,0.0,0.10999999999999999,-0.10999999999999999
8,3,1,6,8,271,5,3,1041,647c69815a99dcb66198ee499d59cdf7e2b39ab5a178f331c384f045c7cecf7f,hard,easy,comparison,6192,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3,1,7,8,387,4,3,1173,656e0fd22e0ced8fd0185138e311058a561632ba153b7686c195922c836625e8,hard,easy,comparison,4391,85,0.09999999999999998,0.050000000000000044,0.04999999999999993,0.15999999999999992,0.19999999999999996,-0.040000000000000036,-0.01000000000000012,0.010000000000000009,-0.02000000000000013,-0.029999999999999916,0.050000000000000044,-0.07999999999999996
6,1,2,6,6,219,3,6,734,66508ebe037baf1d6411e55a404800817ca95d036ec8b8b6172498d44fd4c861,medium,medium,bridge,5568,59,0.10000000000000003,-0.08000000000000002,0.18000000000000005,1.0,0.0,1.0,0.0,0.28,-0.28,0.0,0.0,0.0
7,1,0,7,7,292,2,7,812,67a55fcb39cd7bb6514c42d357015149d561e06c94486d385b602ddc3b60091f,medium,medium,bridge,4907,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,2,5,5,331,3,5,820,6e50381f00e9c698bc820e70f4d1427a85d2f367ec9e166bc4706009ac73361f,medium,hard,comparison,5197,76,0.6000000000000001,-0.06,0.6600000000000001,0.06000000000000005,-0.06,0.12000000000000005,-1.1102230246251565e-16,-0.06,0.05999999999999989,-0.07000000000000006,-0.08000000000000002,0.009999999999999953
3,1,0,3,3,85,2,3,354,7004e0ea506f065504608be2e6714b5eeb329eed3b2978ec7287fd181688e71f,medium,medium,bridge,5242,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,2,7,6,591,5,3,1318,72a783dba7cf41413d3acb27948fd0e90eff20008167b8fe4ffcd7850b029617,hard,hard,comparison,4818,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0,3,2,141,2,3,403,75ba120f687af77ce16202754e23db66c118053b6e724962d319364b011d83c2,medium,medium,bridge,6293,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3,0,7,9,304,3,4,1015,7ec1f48b1e66b164fb89eac80c1a8f16463f5c5a456566cbf02eeb10ea94a2ae,hard,hard,bridge,7269,181,0.0,0.65,-0.65,0.0,0.010000000000000009,-0.010000000000000009,0.0,-0.009999999999999898,0.009999999999999898,0.0,0.010000000000000009,-0.010000000000000009
5,2,1,4,5,178,4,3,709,7f84e1646353ae61b8aca82bb3e4a4b9bd2629ebf6c12745667544e362cffafc,hard,medium,comparison,7043,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0,4,4,226,2,4,608,7fe21f83a2194a44fe181184aa298a82a5bbe0e41b4aeec387bf5256aaabb727,medium,medium,bridge,11105,111,1.0,0.0,1.0,0.10000000000000003,0.0,0.10000000000000003,1.0,0.0,1.0,0.3,0.10000000000000003,0.19999999999999996
5,1,0,5,5,235,2,5,656,80566e828274ece4ce501f11bca79fb882fcf15af556eed9dd33ea1438dbb1f0,medium,medium,bridge,7446,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0,4,4,194,2,4,537,817018e25209e659ac855bdcf84a623e73f1f99c5f8c2939b41bab91ea072a29,medium,medium,bridge,3781,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,0,6,7,273,3,4,811,81cbc619b7378c361df6e5578cebebb29abcf014638833dceb4c645fc21c15fb,hard,easy,bridge,5961,429,0.0,0.45000000000000007,-0.45000000000000007,0.0,0.0,0.0,0.0,0.10000000000000003,-0.10000000000000003,0.0,0.0,0.0
4,1,0,4,4,188,2,4,526,8267f1e09c886abe7f128bcba1d4a11138428b5014b95bc4f28c722cb8371059,medium,easy,bridge,5726,152,0.14999999999999997,0.24,-0.09000000000000002,0.0,-0.09999999999999998,0.09999999999999998,0.35000000000000003,0.020000000000000018,0.33,0.0,-0.09999999999999998,0.09999999999999998
5,1,0,5,5,258,2,5,658,851e6ae2af1ef43127a63c8492add6e9beba697ac16dba3d2f7a100c2a665315,medium,medium,bridge,7812,133,0.10000000000000003,0.0,0.10000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3
4,1,1,4,4,200,3,4,554,8603441d332bcabe6896051e47b8fe3b7b09fbf765b563d595ed6e930955e333,medium,medium,bridge,2936,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,4,4,141,3,4,521,897cf465de50cf93929fae68f4354aad6e45edc2f11acaee47733fa0888de369,medium,medium,bridge,5858,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3,1,8,10,408,4,6,1301,8a27217955e84a59e9cd5f670efb17abf7a8318f866a38d771ae76f2acd0779e,hard,easy,bridge,5068,109,-0.030000000000000027,0.3,-0.33,0.0,0.0,0.0,0.35,0.0,0.35,-0.08000000000000002,0.0,-0.08000000000000002
7,2,0,6,7,274,3,3,860,8aef7374df8509199a392a7bc2ad280ffd5a625e25b5ace1a8903c71807bf872,hard,medium,bridge,6479,143,-0.07999999999999996,0.0,-0.07999999999999996,-0.06,0.0,-0.06,0.020000000000000018,0.10000000000000003,-0.08000000000000002,-0.06,0.0,-0.06
4,1,0,4,4,230,2,4,618,924ffdb8fe3e5e5a6325fb5aa803f113981acbcc720089e822f09bca1b1d068f,medium,medium,bridge,7257,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3,2,10,10,593,4,6,1654,94745413435539a1d8024a47253955c884de4a17d8718a7027d44ae3ba5787f8,hard,medium,bridge,7376,72,0.050000000000000044,-0.06999999999999995,0.12,0.010000000000000009,-0.09999999999999998,0.10999999999999999,0.0,0.010000000000000009,-0.010000000000000009,0.5,0.010000000000000009,0.49
9,2,0,8,9,436,3,5,1180,95ebede18c1377096fe65edf8af545222ca59f7c8a895f44ca437009c0dc056b,hard,medium,bridge,6358,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000003,0.0,0.10000000000000003
4,1,1,4,4,178,3,4,561,98f4dc27d92863f2f034c818dce522633e601a46ceb64373538cb4836f685ace,medium,easy,bridge,3231,48,0.19999999999999996,0.0,0.19999999999999996,-0.09999999999999998,0.0,-0.09999999999999998,0.19999999999999996,-0.08000000000000002,0.27999999999999997,-0.10999999999999999,0.0,-0.10999999999999999
4,1,0,4,4,216,2,4,584,9998e358c920ec0abc9ff08313f851e885a7a7dbae33e21d5bdd0a6bd92da193,medium,medium,bridge,4693,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0,3,3,135,2,3,435,9c60ffe71ed6b8872227c243569a14506a5e376e7b7eca0d806693a11c62e3c2,medium,hard,bridge,5905,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0,5,5,305,2,5,744,a1c3d31ff4d9ea257c5a1c5493c45ab59c940aa4bc8f9db72248bd66f9ff1821,medium,hard,bridge,6109,121,0.0,0.0,0.0,0.6000000000000001,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
6,2,0,5,6,236,3,4,761,a395df8e0be1439c17a039d24730c91045f827746e7f504699e9b6fadccbd27e,hard,hard,bridge,5979,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,1,5,6,252,3,4,781,a3ce20f86aecacbbaf91d75f6f90fff10c27d1da796d302e66eeb293b598c409,hard,easy,bridge,7159,414,0.6000000000000001,0.0,0.6000000000000001,0.3,0.0,0.3,0.6000000000000001,0.0,0.6000000000000001,0.0,0.0,0.0
8,2,0,7,8,329,3,4,994,a51a0268d2a4a67a1ed4b89d08b8129482b1a996678ca0f2cd4aa4b77cdda96e,hard,easy,bridge,6195,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3,0,7,9,0,3,5,674,a898cd360504daf3d601e65fcaa1a8b66a869fa748890360be025e65f123506a,hard,medium,comparison,7067,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3,0,7,9,321,3,3,1101,ab9d820a0826a7baa4c7caec9151ea36842a61602cbdc7b2007c65677e62fd2b,hard,medium,comparison,4757,47,-0.030000000000000027,0.0,-0.030000000000000027,0.050000000000000044,0.0,0.050000000000000044,0.07999999999999996,0.0,0.07999999999999996,0.010000000000000009,0.0,0.010000000000000009
12,4,0,9,12,385,3,3,1401,ac4e39be8862dac28313218d9817e81f7fa149f7fc4dc0749c6730d2c4cfadf6,hard,easy,bridge,5164,377,0.8,0.0,0.8,0.30000000000000004,0.0,0.30000000000000004,0.65,0.0,0.65,0.0,0.0,0.0
5,1,1,5,5,227,3,5,671,acbe285aed450c6ba352ed90506a84df618d01660d0fbd321b3d3bfd251bf9b9,medium,hard,bridge,7013,76,0.6000000000000001,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,0,4,5,215,3,3,656,ad486751af78a540aa075afda4ea104ba42c355a45adebf459b740e8b03e136d,hard,medium,bridge,5417,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,0,6,7,281,3,5,843,b2510e60d88f24cca16affc8676b5a0ab7a3d650f899519526a00a7bfa03b2cb,hard,medium,bridge,5088,59,0.0,0.10000000000000003,-0.10000000000000003,0.0,0.020000000000000018,-0.020000000000000018,0.0,-0.07999999999999996,0.07999999999999996,0.0,0.020000000000000018,-0.020000000000000018
7,2,0,6,7,272,3,3,848,b578eafc7cadd9caadfb9959f84570109e372cc340e15127cf9a31dcedd432bd,hard,easy,bridge,7703,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0,4,4,209,2,4,569,b8baaddad2c1c9a1326b55c13b770b0544d62a0a8194215e1b827141499b6687,medium,easy,bridge,5754,90,0.17000000000000004,0.0,0.17000000000000004,0.12,0.0,0.12,0.5,0.0,0.5,0.07999999999999996,0.0,0.07999999999999996
6,2,1,5,6,330,4,3,888,bccf81e172950eef9d78021890ee93d3e3251eb6ea526fb57da8fcc36da49905,hard,medium,comparison,4736,40,-0.009999999999999898,0.25,-0.2599999999999999,0.06000000000000005,0.44999999999999996,-0.3899999999999999,0.050000000000000044,0.3500000000000001,-0.30000000000000004,-0.07000000000000006,0.3500000000000001,-0.42000000000000015
6,2,0,5,6,254,3,3,776,beded5598d075b361e76b6f32243d239e3114e84306d71f03e4f27bf926fead9,hard,easy,bridge,5297,88,0.15000000000000002,0.0,0.15000000000000002,-0.07999999999999996,-0.030000000000000027,-0.04999999999999993,-0.029999999999999916,0.14999999999999997,-0.17999999999999988,0.050000000000000044,-0.08000000000000007,0.13000000000000012
6,2,1,5,6,302,4,3,838,bf5e96a58fe447d33bcbc14a841b57bc8f01b66094652e740059970ce1e6a8c7,hard,medium,comparison,3662,53,0.050000000000000044,0.050000000000000044,0.0,-0.09999999999999998,-0.09999999999999998,0.0,-0.01000000000000012,-0.09999999999999998,0.08999999999999986,0.15999999999999992,-0.09000000000000008,0.25
6,2,0,5,6,202,3,3,698,bf8c34c3d77116ecd293ab0f948ae5ed30c888e125b15a0cdbd7660bd05bb26a,hard,medium,bridge,5372,45,0.0,0.0,0.0,0.10000000000000003,0.0,0.10000000000000003,0.0,0.0,0.0,0.0,0.0,0.0
6,1,0,6,6,241,2,6,713,bfcbec036e99c8667f43ce2c36f12644c73b4ecec7b7effeb8fe0f0f0a6e5b40,medium,easy,bridge,3970,179,0.10000000000000003,0.0,0.10000000000000003,-0.06,0.0,-0.06,0.06000000000000005,0.0,0.06000000000000005,0.10000000000000003,0.0,0.10000000000000003
9,3,1,7,9,319,4,3,1083,c027f7f8e32e2090a6d84b403f8e7e5e8ed1356c941f255c3672e5805101d406,hard,medium,bridge,6066,138,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,0.0,-0.040000000000000036,0.0,0.0,0.0
14,4,0,11,14,495,3,5,1655,c28f708834861faf19f5395e11f8e3fbcea5ab971007160943e3cb1d4531cc7d,hard,easy,bridge,4557,426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3,1,8,6,439,5,3,1296,c71fdb9f0c60d8e0ec395da98ffc3e4049b4875a40a1edf5b6394a7bc438fa29,hard,medium,comparison,5034,64,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,0.0,-0.040000000000000036,0.0,0.0,0.0
5,2,0,4,5,137,3,3,524,c7582030fb13b7f943d8b10f72b47aee45d0eeac698cb1566694d312b1902be7,hard,medium,bridge,6284,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,3,3,115,3,3,406,c9bad33b310239af2bdd51d58244f163a80421e20e6a18f832a8c820dcc71071,medium,easy,comparison,5957,67,0.0,0.06000000000000005,-0.06000000000000005,0.0,0.0,0.0,0.0,-0.06,0.06,0.0,-0.08000000000000002,0.08000000000000002
9,3,0,7,8,280,3,5,977,cfbe2e16b843c57e81b10bdc125872bb1f130299fcedbd144b5cf885cb15b8ad,hard,medium,bridge,5985,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,0,5,6,325,3,3,880,d0f8df73f7ff33ec8a0ff08450e7f121a758d53d9d11481f778a5c812de15ecd,hard,hard,bridge,3410,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4,1,8,11,0,5,4,839,d1abd25b251509f630b42875ac4c8561b419fb9eaad92f649ebbf23ed2e14f9a,hard,hard,comparison,6130,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,2,6,6,267,3,6,849,d6464d44588e1a86dad777d722ccfe00c86717148d6fda9cb003586508417c4d,medium,easy,comparison,4800,85,-0.040000000000000036,0.0,-0.040000000000000036,-0.06000000000000005,0.0,-0.06000000000000005,-0.020000000000000018,0.0,-0.020000000000000018,-0.030000000000000027,0.0,-0.030000000000000027
7,3,0,5,7,200,3,3,776,d85067a752f6f3871f6c61c48a4bfe24c813651fcdb5503f715acbca232f7564,hard,medium,comparison,4610,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3,0,6,8,273,3,4,894,dc074b7c8058c6e3aba3cf3e8869a22c4557038fec2c5868da0260ab4985090e,hard,medium,bridge,4542,115,0.0,0.10000000000000003,-0.10000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0,5,5,290,2,5,757,dcf52d35c04c5bde9e3938a66ff70a004f3a82c1869f787aaef3e00ee6f90b9e,medium,medium,bridge,8693,163,0.0,-0.08000000000000002,0.08000000000000002,0.0,0.06000000000000005,-0.06000000000000005,0.0,-0.010000000000000009,0.010000000000000009,0.0,-0.06,0.06
6,1,0,6,6,327,2,6,845,ddcc9b1cb8a3584217f94a7f9646efeeef6eac0207c4b49bcbbb4192ce6fd1ff,medium,easy,bridge,3861,296,-0.06,0.35000000000000003,-0.41000000000000003,-0.009999999999999898,-0.06999999999999995,0.06000000000000005,0.13,-0.09999999999999998,0.22999999999999998,0.050000000000000044,0.029999999999999916,0.02000000000000013
7,2,1,6,7,445,4,3,1155,e049fa5b65ef5a44db6562193cfa6a25e5d7d00187f32ba6cedb9e1e0ee5e302,hard,easy,comparison,4058,51,-0.06,-0.06,0.0,-0.08000000000000002,0.16999999999999993,-0.24999999999999994,0.6000000000000001,-0.08000000000000002,0.6800000000000002,0.06000000000000005,-0.08000000000000002,0.14000000000000007
